Word	Katakana	Emotion	
快哉	カイサイ	気	
快楽	カイラク	幸楽気	
顔を赤らめる	カオオアカラメル	恥	
顔を隠す	カオオカクス	恥	
顔を曇らせる	カオオクモラセル	ふ悩	
顔をしかめる	カオオシカメル	不Ｆ	
顔から火が出る	カオカラヒガデル	恥	
顔が火照る	カオガホテル	恥	
掻き暗れる	カキクレル	悲	
掻き毟られる	カキムシラレル	ふＦ	
隔意	カクイ	た	
鶴首	カクシュ	願	
嚇怒	カクド	怒	
かぐわしい	カグワシイ	尊	
陰る	カゲル	ふ	
風向きが悪い	カザムキガワルイ	ふ	
畏まる	カシコマル	恐	
呵責	カシャク	苦	
片恨み	カタウラミ	恨	
肩を落とす	カタオオトス	悲	
片想い	カタオモイ	好切鬱	
固くなる	カタクナル	緊	
堅苦しい	カタクルシイ	不	
かたじけない	カタジケナイ	謝	
肩の荷が下りる	カタノニガオリル	安	
片腹痛い	カタハライタイ	見	
肩身が狭い	カタミガセマイ	き	
肩身が広い	カタミガヒロイ	誇	
かちっと来る	カチットクル	怒	
勝ち誇る	カチホコル	誇	
隔靴掻痒	カッカソウヨウ	不	
かったるい	カッタルイ	不	
渇望	カツボウ	願	
哀しい	カナシイ	悲辛切	
悲しい	カナシイ	悲辛切	
悲しがる	カナシガル	悲辛切	
悲しさ	カナシサ	悲辛切	
哀しさ	カナシサ	悲辛切	
悲しまれる	カナシマレル	悲辛切	
悲しみ	カナシミ	悲辛切	
悲しむ	カナシム	悲辛切	
叶わない	カナワナイ	悲失	
雷に打たれる	カミナリニウタレル	驚	
絡む	カラム	嫌Ｆ	
軽がろしい	カロガロシイ	見	
軽んじる	カロンジル	見	
軽んずる	カロンズル	見	
可愛がる	カワイガル	好親	
可哀想	カワイソウ	憐	
奸悪	カンアク	Ｆ	
感悦	カンエツ	喜	
感慨	カンガイ	動	
感慨無量	カンガイムリョウ	動	
汗顔	カンガン	恥	
歓喜	カンキ	喜	
感泣	カンキュウ	動	
感興	カンキョウ	親	
感極まる	カンキワマル	動	
艱苦	カンク	悩苦	
感激	カンゲキ	動	
歓呼	カンコ	喜	
感謝	カンシャ	感	
癇癪	カンシャク	怒	
感傷	カンショウ	切	
歓笑	カンショウ	喜	
歓心	カンシン	喜	
寒心	カンシン	怖	
感心	カンシン	尊	
莞爾	カンジ	喜幸	
感じ入る	カンジイル	尊誇	
感情的	カンジョウテキ	興	
感情を害する	カンジョウヲガイスル	Ｆ	
感情を昂らせる	カンジョウヲタカブラセル	興	
歓声	カンセイ	喜	
感嘆	カンタン	尊誇悲	
歓天喜地	カンテンキチ	喜	
感動	カンドウ	動	
感に堪える	カンニコタエル	動	
癇に障る	カンニサワル	嫌	
感に堪えない	カンニタエナイ	動	
勘忍袋の緒が切れる	カンニンブクロノオガキレル	怒	
感服	カンプク	動	
感無量	カンムリョウ	動	
感銘	カンメイ	動	
寛容	カンヨウ	穏	
歓楽	カンラク	喜楽	
感涙	カンルイ	感	
歓を尽くす	カンヲツクス	楽	
賀意	ガイ	祝	
慨然	ガイゼン	鬱	
慨嘆	ガイタン	鬱	
愕然	ガクゼン	驚	
がっかり	ガッカリ	残	
がっくり	ガックリ	残	
我慢ならない	ガマンナラナイ	怒興	
がみがみ	ガミガミ	怒	
がめつい	ガメツイ	嫌	
気鬱	キウツ	不鬱	
消え入りたい	キエイリタイ	恥悲	
喜悦	キエツ	喜	
気後れ	キオクレ	怖恥	
気落ち	キオチ	残失	
気を揉む	キオモム	心	
気を悪くする	キオワルクスル	嫌Ｆ	
気がある	キガアル	好	
気が置かれる	キガオカレル	き	
気が重い	キガオモイ	ふ鬱苦	
気懸かり	キガカリ	心	
気が軽い	キガカルイ	気	
気が気でない	キガキデナイ	ふ鬱心	
気が沈む	キガシズム	鬱	
気が急く	キガセク	焦	
気が立つ	キガタツ	興	
気が咎める	キガトガメル	情た	
気兼ね	キガネ	心恐	
気が引き締まる	キガヒキシマル	緊	
気が参る	キガマイル	辛	
気が滅入る	キガメイル	鬱	
