Word	Katakana	Emotion	
哀しさ	カナシサ	悲	
悲しまれる	カナシマレル	悲	
悲しみ	カナシミ	悲	
悲しむ	カナシム	悲	
叶わない	カナワナイ	悲残悔	
雷に打たれる	カミナリニウタレル	驚	
絡む	カラム	不怒	
軽がろしい	カロガロシイ	安	
軽んじる	カロンジル	見	
軽んずる	カロンズル	見	
可愛がる	カワイガル	好安親	
可哀想	カワイソウ	憐	
奸悪	カンアク	嫌	
感悦	カンエツ	動喜	
感慨	カンガイ	動	
感慨無量	カンガイムリョウ	動	
汗顔	カンガン	恥	
歓喜	カンキ	喜	
感泣	カンキュウ	動	
感興	カンキョウ	動興	
感極まる	カンキワマル	喜幸動	
艱苦	カンク	悩苦	
感激	カンゲキ	動	
歓呼	カンコ	喜	
感謝	カンシャ	感	
癇癪	カンシャク	怒	
感傷	カンショウ	憐	
歓笑	カンショウ	喜楽	
歓心	カンシン	喜	
寒心	カンシン	怖	
感心	カンシン	驚あ動	
莞爾	カンジ	幸安親	
感じ入る	カンジイル	動	
感情的	カンジョウテキ	興怒	
感情を害する	カンジョウヲガイスル	不嫌	
感情を昂らせる	カンジョウヲタカブラセル	興	
歓声	カンセイ	興喜	
感嘆	カンタン	興驚悲	
歓天喜地	カンテンキチ	喜	
感動	カンドウ	動	
感に堪える	カンニコタエル	興動	
癇に障る	カンニサワル	怒	
感に堪えない	カンニタエナイ	興動	
勘忍袋の緒が切れる	カンニンブクロノオガキレル	怒	
感服	カンプク	尊悔	
感無量	カンムリョウ	喜幸	
感銘	カンメイ	動	
寛容	カンヨウ	安	
歓楽	カンラク	喜楽	
感涙	カンルイ	感動	
歓を尽くす	カンヲツクス	楽	
賀意	ガイ	祝	
慨然	ガイゼン	鬱怒興	
慨嘆	ガイタン	鬱怒	
愕然	ガクゼン	驚	
がっかり	ガッカリ	残	
がっくり	ガックリ	残	
我慢ならない	ガマンナラナイ	怒	
がみがみ	ガミガミ	不	
がめつい	ガメツイ	不	
気鬱	キウツ	鬱	
消え入りたい	キエイリタイ	鬱	
喜悦	キエツ	喜	
気後れ	キオクレ	怠	
気落ち	キオチ	怠	
気を揉む	キオモム	ふ	
気を悪くする	キオワルクスル	怒嫌不	
気がある	キガアル	好	
気が置かれる	キガオカレル	緊	
気が重い	キガオモイ	鬱	
気懸かり	キガカリ	ふ	
気が軽い	キガカルイ	安穏	
気が気でない	キガキデナイ	焦心ふ	
気が沈む	キガシズム	鬱残	
気が急く	キガセク	焦	
気が立つ	キガタツ	怒	
気が咎める	キガトガメル	情	
気兼ね	キガネ	緊	
気が引き締まる	キガヒキシマル	緊興	
気が参る	キガマイル	怠	
気が滅入る	キガメイル	怠	
気が揉める	キガモメル	安	
気が緩む	キガユルム	安	
気が楽	キガラク	安	
気軽	キガル	安	
気軽い	キガルイ	安	
嬉嬉	キキ	喜楽	
聞き苦しい	キキグルシイ	不	
聞き捨てならない	キキズテナラナイ	不	
聞き辛い	キキズライ	不	
聞きにくい	キキニクイ	不	
危懼	キク	心ふ	
危惧	キグ	心ふ	
気苦労	キグロウ	苦	
危険	キケン	ふ	
機嫌好い	キゲンヨイ	穏	
きざっぽい	キザッポイ	不	
気障り	キザワリ	Ｆ不	
キショい	キショイ	不	
喜色	キショク	喜	
気色が悪い	キショクガワルイ	Ｆ嫌	
気色を害する	キショクヲガイスル	怒	
気色を悪くする	キショクヲワルクスル	怒	
