Word	Katakana	Emotion	
快楽	カイラク	気	
顔を赤らめる	カオオアカラメル	恥	
顔を隠す	カオオカクス	恥	
顔を曇らせる	カオオクモラセル	困	
顔をしかめる	カオオシカメル	困	
顔から火が出る	カオカラヒガデル	恥	
顔が火照る	カオガホテル	恥	
掻き暗れる	カキクレル	悲	
掻き毟られる	カキムシラレル	悩	
隔意	カクイ	恐	
鶴首	カクシュ	願	
嚇怒	カクド	怒	
かぐわしい	カグワシイ	好	
陰る	カゲル	悩失	
風向きが悪い	カザムキガワルイ	失	
畏まる	カシコマル	恐	
呵責	カシャク	嫌	
片恨み	カタウラミ	恨	
肩を落とす	カタオオトス	失	
片想い	カタオモイ	好	
固くなる	カタクナル	恐	
堅苦しい	カタクルシイ	不恐	
かたじけない	カタジケナイ	感	
肩の荷が下りる	カタノニガオリル	安穏	
片腹痛い	カタハライタイ	喜	
肩身が狭い	カタミガセマイ	不Ｆ	
肩身が広い	カタミガヒロイ	誇	
かちっと来る	カチットクル	怒	
勝ち誇る	カチホコル	誇	
隔靴掻痒	カッカソウヨウ	悔	
かったるい	カッタルイ	困	
渇望	カツボウ	願	
哀しい	カナシイ	悲	
悲しい	カナシイ	悲	
悲しがる	カナシガル	悲	
悲しさ	カナシサ	悲	
哀しさ	カナシサ	悲	
悲しまれる	カナシマレル	悲	
悲しみ	カナシミ	悲	
悲しむ	カナシム	悲	
叶わない	カナワナイ	悔失	
雷に打たれる	カミナリニウタレル	驚	
絡む	カラム	嫌	
軽がろしい	カロガロシイ	見	
軽んじる	カロンジル	見	
軽んずる	カロンズル	嫌	
可愛がる	カワイガル	安	
可哀想	カワイソウ	憐	
奸悪	カンアク	嫌	
感悦	カンエツ	喜	
感慨	カンガイ	動	
感慨無量	カンガイムリョウ	動	
汗顔	カンガン	恥	
歓喜	カンキ	喜	
感泣	カンキュウ	動	
感興	カンキョウ	願	
感極まる	カンキワマル	動	
艱苦	カンク	苦悩	
感激	カンゲキ	動	
歓呼	カンコ	喜	
感謝	カンシャ	感	
癇癪	カンシャク	怒	
感傷	カンショウ	あ悲	
歓笑	カンショウ	喜	
歓心	カンシン	喜	
寒心	カンシン	怖	
感心	カンシン	動	
莞爾	カンジ	喜	
感じ入る	カンジイル	尊	
感情的	カンジョウテキ	興	
感情を害する	カンジョウヲガイスル	Ｆ	
感情を昂らせる	カンジョウヲタカブラセル	興	
歓声	カンセイ	喜	
感嘆	カンタン	尊動	
歓天喜地	カンテンキチ	喜	
感動	カンドウ	動	
感に堪える	カンニコタエル	動	
癇に障る	カンニサワル	嫌	
感に堪えない	カンニタエナイ	動	
勘忍袋の緒が切れる	カンニンブクロノオガキレル	怒	
感服	カンプク	尊動	
感無量	カンムリョウ	動	
感銘	カンメイ	動	
寛容	カンヨウ	親	
歓楽	カンラク	喜楽	
感涙	カンルイ	動	
歓を尽くす	カンヲツクス	楽	
賀意	ガイ	祝	
慨然	ガイゼン	怒鬱悲興	
慨嘆	ガイタン	悲怒	
愕然	ガクゼン	驚	
がっかり	ガッカリ	驚	
がっくり	ガックリ	失	
我慢ならない	ガマンナラナイ	興	
がみがみ	ガミガミ	嫌	
がめつい	ガメツイ	見嫌	
気鬱	キウツ	鬱	
消え入りたい	キエイリタイ	恥	
喜悦	キエツ	喜	
気後れ	キオクレ	恐	
気落ち	キオチ	失	
気を揉む	キオモム	心	
気を悪くする	キオワルクスル	Ｆ	
気がある	キガアル	好	
気が置かれる	キガオカレル	恐	
気が重い	キガオモイ	鬱	
気懸かり	キガカリ	心	
気が軽い	キガカルイ	気	
気が気でない	キガキデナイ	心興	
気が沈む	キガシズム	失	
気が急く	キガセク	焦	
気が立つ	キガタツ	興	
気が咎める	キガトガメル	た	
気兼ね	キガネ	恐	
気が引き締まる	キガヒキシマル	緊	
気が参る	キガマイル	Ｆ	
気が滅入る	キガメイル	鬱	
気が揉める	キガモメル	興心	
気が緩む	キガユルム	安穏	
気が楽	キガラク	安穏	
気軽	キガル	親安	
気軽い	キガルイ	親安	
嬉嬉	キキ	喜	
聞き苦しい	キキグルシイ	不	
聞き捨てならない	キキズテナラナイ	困	
聞き辛い	キキズライ	不	
聞きにくい	キキニクイ	不	
危懼	キク	怖	
危惧	キグ	怖	
気苦労	キグロウ	心	
